del,id,tweet,subtask_a,subtask_b,subtask_c,cleaned_tweet,stopped,stemmed_tweet,lemmatized_tweet,tweet_length,topic,sentiment_score,sentiment_category,polarity,subjectivity,polarity_class,subjectivity_class,combined_sentiment
11943,92425,@USER But please get a better barber first.,0,0,0,please get better barber first,please get better barber first,pleas get better barber first,please get better barber first,8,0,0.6369,1,0.375,0.416666667,1,Objective,1
11948,54387,#Qanon #WWG1WGA #MAGA WOW!! Worth watching! URL,0,0,0,wow worth watching ,wow worth watching,wow worth watch,wow worth watching,7,2,0.6908,1,0.2,0.55,1,Subjective,1
11961,90158,@USER @USER Is it being awarded by The Onion?,0,0,0,awarded onion,awarded onion,award onion,awarded onion,9,0,0.4019,1,0.0,0.0,0,Objective,1
11966,43879,@USER @USER Please clarify what subsection you are referring to.,0,0,0,please clarify subsection referring,please clarify subsection referring,pleas clarifi subsect refer,please clarify subsection referring,10,1,0.3182,1,0.0,0.0,0,Objective,1
11971,76661,@USER Hitler would be so proud of David Hogg URL,1,2,3,hitler would proud david hogg ,hitler would proud david hogg,hitler would proud david hogg,hitler would proud david hogg,10,1,0.4767,1,0.8,1.0,1,Subjective,-1
11973,72257,@USER @USER @USER drama queen- we r loving this booming economy more jobs!!! IT’S THE ECONOMY and You are against us -u need to chill have a coke and a smile!,0,0,0,drama queen loving booming economy jobs economy need chill coke smile,drama queen loving booming economy jobs economy need chill coke smile,drama queen love boom economi job economi need chill coke smile,drama queen loving booming economy job economy need chill coke smile,31,2,0.7506,1,0.45,0.525,1,Subjective,1
11978,22213,@USER He is brilliant.,0,0,0,brilliant,brilliant,brilliant,brilliant,4,1,0.5859,1,0.9,1.0,1,Subjective,1
11983,94168,🇺🇸 VOTE LIKE YOUR LIFE DEPENDS ON IT ... BECAUSE IT REALLY DOES !!! 🇺🇸 #DrainTheDeepState #MAGA URL,0,0,0,vote like life depends really ,vote like life depends really,vote like life depend realli,vote like life depends really,18,2,0.3612,1,0.2,0.2,1,Objective,1
11985,11296,@USER @USER how about charges against Ellison with 911 calls to validate and this was not when 17,0,0,0,charges ellison 911 calls validate,charges ellison 911 calls validate,charg ellison 911 call valid,charge ellison 911 call validate,18,0,0.3612,1,0.0,0.0,0,Objective,1
11990,24629,@USER If deGrom was actually as great of a pitcher as you say he is then he'd hit more homeruns.,0,0,0,degrom actually great pitcher say hit homeruns,degrom actually great pitcher say hit homeruns,degrom actual great pitcher say hit homerun,degrom actually great pitcher say hit homeruns,20,1,0.6249,1,0.8,0.75,1,Subjective,1
11996,55670,@USER Good Evening. Can you tell us your location and which direction you are traveling so we may investigate? ^Z,0,0,0,good evening tell location direction traveling may investigate,good evening tell location direction traveling may investigate,good even tell locat direct travel may investig,good evening tell location direction traveling may investigate,20,0,0.4404,1,0.7,0.6,1,Subjective,1
12008,62179,@USER @USER he has never gave any information or said anything that ended up being true. Most likely cause if he is producing w them he’s not allowed to share info,0,0,0,never gave information said anything ended true likely cause producing allowed share info,never gave information said anything ended true likely cause producing allowed share info,never gave inform said anyth end true like caus produc allow share info,never gave information said anything ended true likely cause producing allowed share info,31,1,0.6124,1,0.175,0.825,1,Subjective,1
12009,83376,@USER He doesn’t want to give anything to POTUS!,1,1,0,want give anything potus,want give anything potus,want give anyth potus,want give anything potus,9,0,0.0772,1,0.0,0.0,0,Objective,1
12012,50564,"@USER if you are trying to use the word pet"" as in like... a term of endearment towards another human you can just use ""chouchou""""",0,0,0,trying use word pet like term endearment towards another human use chouchou,trying use word pet like term endearment towards another human use chouchou,tri use word pet like term endear toward anoth human use chouchou,trying use word pet like term endearment towards another human use chouchou,25,1,0.3612,1,0.0,0.1,0,Objective,1
12015,71322,9. You are cute all the time URL,0,0,0,cute time ,cute time,cute time,cute time,8,1,0.4588,1,0.5,1.0,1,Subjective,1
12019,55471,"@USER @USER @USER @USER Michael, I really liked that movie, The Patriot"", with Mel Gibson. MAGA !""",0,0,0,michael really liked movie patriot mel gibson maga,michael really liked movie patriot mel gibson maga,michael realli like movi patriot mel gibson maga,michael really liked movie patriot mel gibson maga,17,2,0.4754,1,0.6,0.8,1,Subjective,1
12020,48329,@USER @USER She is a courages patriot,0,0,0,courages patriot,courages patriot,courag patriot,courage patriot,7,2,0.4939,1,0.0,0.0,0,Objective,1
12024,87902,@USER You are my hero!!,0,0,0,hero,hero,hero,hero,5,2,0.5574,1,0.0,0.0,0,Objective,1
12025,64523,@USER @USER LMFAO!!!!,0,0,0,lmfao,lmfao,lmfao,lmfao,3,2,0.5423,1,0.0,0.0,0,Objective,1
12035,84971,@USER Right!? Good grief...he is just perfect 😊😘❤❤,0,0,0,right good grief perfect  ,right good grief perfect,right good grief perfect,right good grief perfect,8,0,0.5267,1,0.296428571,0.583928571,1,Subjective,1
12039,82971,@USER Good luck on your future endeavors...you are surely going to be missed 😥,0,0,0,good luck future endeavors surely going missed,good luck future endeavors surely going missed,good luck futur endeavor sure go miss,good luck future endeavor surely going missed,14,0,0.765,1,0.4,0.537962963,1,Subjective,1
12040,37909,@USER She is my friend,0,0,0,friend,friend,friend,friend,5,1,0.4939,1,0.0,0.0,0,Objective,1
12043,57628,@USER @USER Hillaryous lmao waa boo hoo,0,0,0,hillaryous lmao waa boo hoo,hillaryous lmao waa boo hoo,hillary lmao waa boo hoo,hillaryous lmao waa boo hoo,7,1,0.5994,1,0.6,1.0,1,Subjective,1
12052,37451,@USER @USER YOU ARE SO PRETTY OH MY GOODNESS,0,0,0,pretty goodness,pretty goodness,pretti good,pretty goodness,9,0,0.7351,1,0.25,1.0,1,Subjective,1
12058,18309,@USER Better think back!,0,0,0,better think back,better think back,better think back,better think back,4,0,0.4404,1,0.25,0.25,1,Objective,1
12063,75730,@USER So Glad Your Back 🙏 Hygs Love You ❤ Getting Ready To Do A  #ProLife. Presentation #Maga  #💯🇺🇸🇺🇸🇺🇸 URL,0,0,0,glad back hygs love  getting ready presentation ,glad back hygs love getting ready presentation,glad back hyg love get readi present,glad back hygs love getting ready presentation,20,2,0.8658,1,0.3,0.525,1,Subjective,1
12071,42956,@USER If they picked a more suitable song it would be great,0,0,0,picked suitable song would great,picked suitable song would great,pick suitabl song would great,picked suitable song would great,12,1,0.6249,1,0.675,0.75,1,Subjective,1
12074,82533,. @USER i sent @USER  your way for dinner. She said she met you tonight but What she didn’t tell you is that she is Clemson legend like you are an Aggie yell leader legend. She cheered at Clemson and is a ESPN commentator for Varsity!,0,0,0,sent way dinner said met tonight tell clemson legend like aggie yell leader legend cheered clemson espn commentator varsity,sent way dinner said met tonight tell clemson legend like aggie yell leader legend cheered clemson espn commentator varsity,sent way dinner said met tonight tell clemson legend like aggi yell leader legend cheer clemson espn comment varsiti,sent way dinner said met tonight tell clemson legend like aggie yell leader legend cheered clemson espn commentator varsity,46,2,0.7003,1,0.0,0.0,0,Objective,1
12075,14882,@USER @USER YOU ARE WELCOMEEEE! I also love your other song! You deserve an Island :D,0,0,0,welcomeee also love song deserve island,welcomeee also love song deserve island,welcomee also love song deserv island,welcomeee also love song deserve island,16,1,0.6369,1,0.5,0.6,1,Subjective,1
12081,33562,@USER girl you are SO beautiful 😩😍,0,0,0,girl beautiful,girl beautiful,girl beauti,girl beautiful,7,1,0.5994,1,0.85,1.0,1,Subjective,1
12084,13877,@USER @USER @USER @USER @USER @USER @USER Louis Farrakahn called. He said you are doing a great job of parroting his ideas. (Means you do not have an original thought and that you are actually the puppet here).,1,2,1,louis farrakahn called said great job parroting ideas means original thought actually puppet,louis farrakahn called said great job parroting ideas means original thought actually puppet,loui farrakahn call said great job parrot idea mean origin thought actual puppet,louis farrakahn called said great job parroting idea mean original thought actually puppet,38,1,0.7506,1,0.391666667,0.533333333,1,Subjective,1
12088,15685,@USER @USER @USER @USER @USER @USER @USER They did have a trial just a separation. Over 500 kids without their parents and lowlifes like you are thrilled about it.,0,0,0,trial separation 500 kids without parents lowlifes like thrilled,trial separation 500 kids without parents lowlifes like thrilled,trial separ 500 kid without parent lowlif like thrill,trial separation 500 kid without parent lowlife like thrilled,29,1,0.4404,1,0.6,0.7,1,Subjective,1
12096,36948,@USER god you are adorable,0,0,0,god adorable,god adorable,god ador,god adorable,5,2,0.6486,1,0.5,1.0,1,Subjective,1
12099,48809,@USER I’m HAPPY that you are feeling better!😉,0,0,0,happy feeling better,happy feeling better,happi feel better,happy feeling better,8,2,0.7964,1,0.65,0.75,1,Subjective,1
12111,88096,@USER She is the face of the democrat party. She should be locked up for bullying the Republican Party.  She’s rich. Lives in a mansion and her district is in poverty. She’s more like a dictator in her district!!,0,0,0,face democrat party locked bullying republican party rich lives mansion district poverty like dictator district,face democrat party locked bullying republican party rich lives mansion district poverty like dictator district,face democrat parti lock bulli republican parti rich live mansion district poverti like dictat district,face democrat party locked bullying republican party rich life mansion district poverty like dictator district,39,2,0.5106,1,0.375,0.75,1,Subjective,1
12113,92484,@USER @USER @USER @USER Yes. Including the staff and the bureaucracy.,0,0,0,yes including staff bureaucracy,yes including staff bureaucracy,yes includ staff bureaucraci,yes including staff bureaucracy,11,0,0.4019,1,0.0,0.0,0,Objective,1
12121,69019,@USER This stinks like week old fish she is a best a liar,1,0,0,stinks like week old fish best liar,stinks like week old fish best liar,stink like week old fish best liar,stink like week old fish best liar,13,2,0.1779,1,0.166666667,0.333333333,1,Objective,-1
12128,37944,@ MY LRT IM DYDINV G SHE IS BEAUTIFUL,0,0,0, lrt dydinv beautiful,lrt dydinv beautiful,lrt dydinv beauti,lrt dydinv beautiful,9,1,0.5994,1,0.85,1.0,1,Subjective,1
12129,67343,@USER @USER You are a bright star for Texas.,0,0,0,bright star texas,bright star texas,bright star texa,bright star texas,9,1,0.4404,1,0.7,0.8,1,Subjective,1
12150,70844,@USER I was think she jisoo but I’m Focused I found she is taeyoun,1,2,1,think jisoo focused found taeyoun,think jisoo focused found taeyoun,think jisoo focus found taeyoun,think jisoo focused found taeyoun,14,0,0.3818,1,0.0,0.0,0,Objective,1
12156,18432,@USER 😂😂 exaggerating so much! You are appreciated.,0,0,0,exaggerating much appreciated,exaggerating much appreciated,exagger much appreci,exaggerating much appreciated,8,0,0.3818,1,0.2,0.1,1,Objective,1
12158,18098,@USER Haha! I don't believe it.,0,0,0,haha believe,haha believe,haha believ,haha believe,6,2,0.4588,1,0.2,0.3,1,Objective,1
12161,66242,@USER Diversity makes you stronger,0,0,0,diversity makes stronger,diversity makes stronger,divers make stronger,diversity make stronger,5,1,0.3818,1,0.0,0.0,0,Objective,1
12163,54675,@USER She is a cutie!!But she needs a PACKER bib,0,0,0,cutie needs packer bib,cutie needs packer bib,cuti need packer bib,cutie need packer bib,10,1,0.3612,1,0.0,0.0,0,Objective,1
12167,77069,@USER @USER @USER He is a good man.,0,0,0,good man,good man,good man,good man,8,0,0.4404,1,0.7,0.6,1,Subjective,1
12168,46798,@USER @USER @USER @USER dude just go straight to the point. You are trying to say that Iggy can be bigger than Em bc she is younger URL,0,0,0,dude straight point trying say iggy bigger younger ,dude straight point trying say iggy bigger younger,dude straight point tri say iggi bigger younger,dude straight point trying say iggy bigger younger,28,2,0.2263,1,0.066666667,0.3,1,Objective,1
12175,98303,If two or three allegations Dems would be screaming PATTERN. 65 women came forward Supporting Kavanaugh is that not a pattern of good behavior? Allegations must be heard but what happened to presumption of innocence? Timing is suspect. What do you think @USER #MAGA,0,0,0,two three allegations dems would screaming pattern women came forward supporting kavanaugh pattern good behavior allegations must heard happened presumption innocence timing suspect think,two three allegations dems would screaming pattern women came forward supporting kavanaugh pattern good behavior allegations must heard happened presumption innocence timing suspect think,two three alleg dem would scream pattern women came forward support kavanaugh pattern good behavior alleg must heard happen presumpt innoc time suspect think,two three allegation dems would screaming pattern woman came forward supporting kavanaugh pattern good behavior allegation must heard happened presumption innocence timing suspect think,44,0,0.5574,1,0.475,0.425,1,Objective,1
12183,52907,@USER Pick me pls.,0,0,0,pick pls,pick pls,pick pls,pick pls,4,0,0.0772,1,0.0,0.0,0,Objective,1
12195,11633,It has always been @USER aim to compromise the evidence so that the Special Counsel cannot use it to convict @USER during impeachment. . @USER @USER #MAGA @USER @USER @USER @USER @USER @USER @USER URL,0,0,0,always aim compromise evidence special counsel cannot use convict impeachment ,always aim compromise evidence special counsel cannot use convict impeachment,alway aim compromis evid special counsel cannot use convict impeach,always aim compromise evidence special counsel cannot use convict impeachment,35,0,0.4019,1,0.357142857,0.571428571,1,Subjective,1
12198,63243,@USER Looks like #antifa to me....just saying. URL,0,0,0,looks like saying ,looks like saying,look like say,look like saying,8,2,0.3612,1,0.0,0.0,0,Objective,1
12199,52742,@USER  Hi Bernice 😊 I hope you are enjoying the #xrpcommunity and learning lots about #xrp 😁 +.0589 @USER 💫💥😘,0,0,0,bernice hope enjoying learning lots 0589,bernice hope enjoying learning lots 0589,bernic hope enjoy learn lot 0589,bernice hope enjoying learning lot 0589,20,2,0.743,1,0.5,0.6,1,Subjective,1
12202,97426,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are so beautiful!!😢😍Xx,0,0,0,beautiful,beautiful,beauti,beautiful,14,1,0.5994,1,0.85,1.0,1,Subjective,1
12203,39447,@USER @USER Mental case for sure,1,1,0,mental case sure,mental case sure,mental case sure,mental case sure,6,2,0.3182,1,0.2,0.544444444,1,Subjective,1
12204,72744,@USER @USER @USER @USER @USER @USER @USER @USER @USER Cheers; appreciated.,0,0,0,cheers appreciated,cheers appreciated,cheer appreci,cheer appreciated,11,1,0.765,1,0.2,0.1,1,Objective,1
12206,75641,@USER Northern AZ is good. Look forward to seeing him there! #MAGA,0,0,0,northern good look forward seeing,northern good look forward seeing,northern good look forward see,northern good look forward seeing,12,0,0.4404,1,0.7,0.6,1,Subjective,1
12213,76300,@USER He is beautiful just like his grandma bless him ❤️❤️❤️,0,0,0,beautiful like grandma bless      ,beautiful like grandma bless,beauti like grandma bless,beautiful like grandma bless,11,2,0.8481,1,0.85,1.0,1,Subjective,1
12214,95284,@USER you have the best booty and everything you are stunning love you so want to cum in you so deep!,0,0,0,best booty everything stunning love want cum deep,best booty everything stunning love want cum deep,best booti everyth stun love want cum deep,best booty everything stunning love want cum deep,21,1,0.9062,1,0.5,0.575,1,Subjective,1
12232,86648,@USER God help every citizens whether they are Republicans or Democrats,0,0,0,god help every citizens whether republicans democrats,god help every citizens whether republicans democrats,god help everi citizen whether republican democrat,god help every citizen whether republican democrat,11,1,0.5859,1,0.0,0.0,0,Objective,1
12236,89641,@USER @USER @USER So you are clearly admitting big names big cast also reason of sanju aye dil yeh jawani barfi suceess 🤔🤔🤔,0,0,0,clearly admitting big names big cast also reason sanju aye dil yeh jawani barfi suceess,clearly admitting big names big cast also reason sanju aye dil yeh jawani barfi suceess,clear admit big name big cast also reason sanju aye dil yeh jawani barfi suceess,clearly admitting big name big cast also reason sanju aye dil yeh jawani barfi suceess,23,1,0.4019,1,0.033333333,0.194444444,0,Objective,1
12240,39204,@USER @USER you are so beautiful,0,0,0,beautiful,beautiful,beauti,beautiful,6,1,0.5994,1,0.85,1.0,1,Subjective,1
12241,20619,@USER He is not a troll he is simply dumb but I’m enjoying it I love tweeter for this 🤣🤣🤣🤣🤣🤣🤣,1,2,1,troll simply dumb enjoying love tweeter,troll simply dumb enjoying love tweeter,troll simpli dumb enjoy love tweeter,troll simply dumb enjoying love tweeter,20,1,0.6486,1,0.208333333,0.566666667,1,Subjective,-1
12244,33290,@USER @USER I support Jahs blessings on his hussle ....he is d bomb,1,2,1,support jahs blessings hussle bomb,support jahs blessings hussle bomb,support jah bless hussl bomb,support jahs blessing hussle bomb,13,0,0.4019,1,0.0,0.0,0,Objective,1
12249,43430,@USER He is jeopardizing our security!  If he wants to show he favors transparency he can instead  release his taxes!,0,0,0,jeopardizing security wants show favors transparency instead release taxes,jeopardizing security wants show favors transparency instead release taxes,jeopard secur want show favor transpar instead releas tax,jeopardizing security want show favor transparency instead release tax,20,0,0.6597,1,0.2,0.1,1,Objective,1
12256,54070,@USER @USER Enjoying this Williams &amp; PC crowd tantrum. Karma.,0,0,0,enjoying williams crowd tantrum karma,enjoying williams crowd tantrum karma,enjoy william crowd tantrum karma,enjoying williams crowd tantrum karma,10,0,0.1531,1,0.5,0.6,1,Subjective,1
12260,33578,@USER Well she is better looking than the lying chicks lawyer,1,2,1,well better looking lying chicks lawyer,well better looking lying chicks lawyer,well better look lie chick lawyer,well better looking lying chick lawyer,11,0,0.1531,1,0.5,0.5,1,Objective,1
12274,93569,@USER @USER That dude whoever he is aged out a long time ago. Do better Utah.,0,0,0,dude whoever aged long time ago better utah,dude whoever aged long time ago better utah,dude whoever age long time ago better utah,dude whoever aged long time ago better utah,16,2,0.4404,1,0.116666667,0.433333333,1,Objective,1
12280,23633,@USER and @USER states that she went to save herself from online abuse. If she wants to live in peace then why she is not taking case back and asking relatives to attend hearing.  Contradictory statements and action.,0,0,0,states went save online abuse wants live peace taking case back asking relatives attend hearing contradictory statements action,states went save online abuse wants live peace taking case back asking relatives attend hearing contradictory statements action,state went save onlin abus want live peac take case back ask relat attend hear contradictori statement action,state went save online abuse want live peace taking case back asking relative attend hearing contradictory statement action,38,2,0.1027,1,0.109090909,0.175,1,Objective,1
12282,48116,@USER Yes he is!,0,0,0,yes,yes,yes,yes,4,0,0.4019,1,0.0,0.0,0,Objective,1
12283,51890,@USER WOW THIS COLOUR SCHEME I AM LIVING FOR IT ALSO YOU?? ARE SO PRETTY??,0,0,0,wow colour scheme living also pretty,wow colour scheme living also pretty,wow colour scheme live also pretti,wow colour scheme living also pretty,15,2,0.7906,1,0.175,1.0,1,Subjective,1
12285,61363,#Republicans #Conservatives @USER wet dreams: Step 1: Confirm predator as SCOTUS judge Step 2: Eliminate women's choice Step 3: Eliminate non white's voting rights Step 4: Eliminate women's voting rights Step 5: End immigration,1,2,3,wet dreams step confirm predator scotus judge step eliminate women choice step eliminate non white voting rights step eliminate women voting rights step end immigration,wet dreams step confirm predator scotus judge step eliminate women choice step eliminate non white voting rights step eliminate women voting rights step end immigration,wet dream step confirm predat scotus judg step elimin women choic step elimin non white vote right step elimin women vote right step end immigr,wet dream step confirm predator scotus judge step eliminate woman choice step eliminate non white voting right step eliminate woman voting right step end immigration,34,2,0.25,1,-0.05,0.2,0,Objective,1
12288,19916,@USER You are the best. 💜,0,0,0,best,best,best,best,6,2,0.6369,1,1.0,0.3,1,Objective,1
12298,94239,@USER I love your momma. She is me,0,0,0,love momma,love momma,love momma,love momma,8,1,0.6369,1,0.5,0.6,1,Subjective,1
12310,12224,@USER @USER @USER EXCITING WEEK AHEAD!! GOD BLESS YOU MR PRESIDENT #DEPLORABLES #MAGA #KAG URL,1,0,0,exciting week ahead god bless president ,exciting week ahead god bless president,excit week ahead god bless presid,exciting week ahead god bless president,15,2,0.7964,1,0.3,0.8,1,Subjective,-1
12313,53081,@USER call up @USER about time he got a call up🙌🏻 he is showing he can perform at a big level! he might not be at a top 4 club but he can score give him a chance!..,0,0,0,call time got call showing perform big level might top club score give chance,call time got call showing perform big level might top club score give chance,call time got call show perform big level might top club score give chanc,call time got call showing perform big level might top club score give chance,38,1,0.4215,1,0.25,0.3,1,Objective,1
12316,92451,".@USER @USER and @USER MP @USER praises the 'innovative #publicsector thinking' of @USER this week in @USER  If Britain is to prosper in the 21st century, it is through embracing the #digital economy"" ➡️ URL URL",1,0,0,praises innovative thinking week britain prosper 21st century embracing economy    ,praises innovative thinking week britain prosper 21st century embracing economy,prais innov think week britain prosper 21st centuri embrac economi,praise innovative thinking week britain prosper 21st century embracing economy,36,1,0.7579,1,0.25,0.5,1,Objective,-1
12317,45144,@USER Yes!  We were.  Back again.  Thank you so much.  Hope you are all well..❤️,0,0,0,yes back thank much hope well  ,yes back thank much hope well,yes back thank much hope well,yes back thank much hope well,15,2,0.8481,1,0.1,0.1,1,Objective,1
12345,96426,#wcw because big sis was just inducted into the #pixiegang and she is slaying it flawlessly! 🔥😍 URL,0,0,0,big sis inducted slaying flawlessly ,big sis inducted slaying flawlessly,big sis induct slay flawless,big si inducted slaying flawlessly,18,0,0.2023,1,0.5,0.55,1,Subjective,1
12346,74707,@USER @USER @USER @USER @USER  @USER @USER @USER @USER @USER @USER @USER @USER @USER   At Millfield lecturing the students About what? The evolving Dependent tax and Migrant party? URL,0,0,0,millfield lecturing students evolving dependent tax migrant party ,millfield lecturing students evolving dependent tax migrant party,millfield lectur student evolv depend tax migrant parti,millfield lecturing student evolving dependent tax migrant party,29,1,0.4019,1,0.0,0.0,0,Objective,1
12360,40024,@USER Happy for you. Remember your beautiful glammed up and also when you are not.,0,0,0,happy remember beautiful glammed also,happy remember beautiful glammed also,happi rememb beauti glam also,happy remember beautiful glammed also,15,1,0.8225,1,0.825,1.0,1,Subjective,1
12362,88037,@USER He obviously doesn’t care.,0,0,0,obviously care,obviously care,obvious care,obviously care,5,1,0.4939,1,0.0,0.5,0,Objective,1
12368,33515,"@USER @USER @USER @USER @USER @USER @USER It's not about how much he's played...its about trade value""he is more valuable then a 5th""",0,0,0,much played trade value valuable 5th,much played trade value valuable 5th,much play trade valu valuabl 5th,much played trade value valuable 5th,23,1,0.7845,1,0.2,0.2,1,Objective,1
12371,33055,@USER You are look so damn beautiful in that outfit.,0,0,0,look damn beautiful outfit,look damn beautiful outfit,look damn beauti outfit,look damn beautiful outfit,10,1,0.296,1,0.85,1.0,1,Subjective,1
12377,71268,@USER May as well ignore her since all we are doing is giving her the attention she so craves.  She was such an adorable child..... but she never had a good enough body for nude love scenes so now she is searching for the attention she desires with bovine fecal posts.,1,2,1,may well ignore since giving attention craves adorable child never good enough body nude love scenes searching attention desires bovine fecal posts,may well ignore since giving attention craves adorable child never good enough body nude love scenes searching attention desires bovine fecal posts,may well ignor sinc give attent crave ador child never good enough bodi nude love scene search attent desir bovin fecal post,may well ignore since giving attention craves adorable child never good enough body nude love scene searching attention desire bovine fecal post,51,1,0.8656,1,0.1625,0.675,1,Subjective,1
12385,17324,@USER Did he do this right after that last statement?  Asking for a friend. URL,0,0,0,right last statement asking friend ,right last statement asking friend,right last statement ask friend,right last statement asking friend,15,2,0.4939,1,0.142857143,0.301190476,1,Objective,1
12390,14074,@USER He is cute.,0,0,0,cute,cute,cute,cute,4,1,0.4588,1,0.5,1.0,1,Subjective,1
12400,89569,@USER Does Jimmy have to clear his monologues with these producers to ensure NBC is tear free?,0,0,0,jimmy clear monologues producers ensure nbc tear free,jimmy clear monologues producers ensure nbc tear free,jimmi clear monologu produc ensur nbc tear free,jimmy clear monologue producer ensure nbc tear free,17,2,0.8176,1,0.25,0.591666667,1,Subjective,1
12409,89548,@USER i still get this half my work days and all i do is sit on my computer in bed lmao,0,0,0,still get half work days sit computer bed lmao,still get half work days sit computer bed lmao,still get half work day sit comput bed lmao,still get half work day sit computer bed lmao,21,0,0.5994,1,0.216666667,0.583333333,1,Subjective,1
12411,93405,@USER @USER @USER Nice.,0,0,0,nice,nice,nice,nice,4,1,0.4215,1,0.6,1.0,1,Subjective,1
12436,78426,@USER yeah thats true. i really hope you are able to get that time off for daisho.,0,0,0,yeah thats true really hope able get time daisho,yeah thats true really hope able get time daisho,yeah that true realli hope abl get time daisho,yeah thats true really hope able get time daisho,17,2,0.8016,1,0.35,0.491666667,1,Objective,1
12439,21473,@USER @USER @USER @USER @USER @USER @USER @USER    I would like to thank those at Whitehall whom have supported me. Please see press statement below Big thanks @USER @USER  Wishing you all the best for vote2019 URL,0,0,0,would like thank whitehall supported please see press statement big thanks wishing best vote 2019 ,would like thank whitehall supported please see press statement big thanks wishing best vote 2019,would like thank whitehal support pleas see press statement big thank wish best vote 2019,would like thank whitehall supported please see press statement big thanks wishing best vote 2019,37,2,0.9485,1,0.4,0.2,1,Objective,1
12440,93574,@USER @USER @USER @USER Well you are FABULOUS,0,0,0,well fabulous,well fabulous,well fabul,well fabulous,8,1,0.6705,1,0.4,1.0,1,Subjective,1
12441,25175,.@USER “I believe that our best days are ahead of us.”  currently the @USER are the RMS Titanic and the #ChequersPlan is a big feckin' iceberg! ...  🤨 ...,0,0,0,believe best days ahead currently rms titanic big feckin iceberg,believe best days ahead currently rms titanic big feckin iceberg,believ best day ahead current rms titan big feckin iceberg,believe best day ahead currently rms titanic big feckin iceberg,29,2,0.6369,1,0.333333333,0.266666667,1,Objective,1
12446,92663,"@USER Truly. He had that sly, self-deprecating humor and swagger. Like you said, very American"".""",1,1,0,truly sly self deprecating humor swagger like said american,truly sly self deprecating humor swagger like said american,truli sli self deprec humor swagger like said american,truly sly self deprecating humor swagger like said american,15,1,0.7579,1,0.0,0.0,0,Objective,1
12454,60939,Pretending you have dementia to own the libs #MAGA URL,1,2,1,pretending dementia libs ,pretending dementia libs,pretend dementia lib,pretending dementia libs,10,1,0.1027,1,0.0,0.0,0,Objective,1
12455,26970,@USER @USER Brilliant effort great step count great that you are targeting more next week 👍,1,0,0,brilliant effort great step count great targeting next week,brilliant effort great step count great targeting next week,brilliant effort great step count great target next week,brilliant effort great step count great targeting next week,16,2,0.9186,1,0.625,0.625,1,Subjective,-1
12467,11494,@USER I come from a long line of bigots and morons. It's hard to grapple with at first but it gets better. Fill the void with fundamentally decent ppl and you will eventually realize you are better off for it.,1,2,3,come long line bigots morons hard grapple first gets better fill void fundamentally decent ppl eventually realize better,come long line bigots morons hard grapple first gets better fill void fundamentally decent ppl eventually realize better,come long line bigot moron hard grappl first get better fill void fundament decent ppl eventu realiz better,come long line bigot moron hard grapple first get better fill void fundamentally decent ppl eventually realize better,40,0,0.296,1,0.039285714,0.563095238,0,Subjective,1
12469,11616,@USER I’m a brat ... can’t deal with another woman to long unless she is relaxed like a guy,1,0,0,brat deal another woman long unless relaxed like guy,brat deal another woman long unless relaxed like guy,brat deal anoth woman long unless relax like guy,brat deal another woman long unless relaxed like guy,19,0,0.6908,1,-0.05,0.4,0,Objective,-1
12483,40899,@USER @USER OMG MY Heath bleeds for your daughter and your family. Hold her tight and keep telling her how safe she is and that your will always be there for her. 🙏🙏🙏🙏🙏❤️❤️❤️,0,0,0,omg heath bleeds daughter family hold tight keep telling safe always      ,omg heath bleeds daughter family hold tight keep telling safe always,omg heath bleed daughter famili hold tight keep tell safe alway,omg heath bleeds daughter family hold tight keep telling safe always,33,1,0.4404,1,0.160714286,0.392857143,1,Objective,1
12490,99306,The Unafraid and Unscathed @USER bringing Hope and Change all around the world! #MAGA #NoKoSoKo North Korea's Kim Jong-un agrees to shut missile site - BBC News URL,0,0,0,unafraid unscathed bringing hope change around world north korea kim jong agrees shut missile site bbc news ,unafraid unscathed bringing hope change around world north korea kim jong agrees shut missile site bbc news,unafraid unscath bring hope chang around world north korea kim jong agre shut missil site bbc news,unafraid unscathed bringing hope change around world north korea kim jong agrees shut missile site bbc news,28,0,0.5719,1,0.0,0.0,0,Objective,1
12503,63341,@USER @USER it's God not god,0,0,0,god god,god god,god god,god god,6,2,0.4939,1,0.0,0.0,0,Objective,1
12504,13108,@USER 😭😭😭😭😭😭 I want him 😭😭😭😭😭😭 thank god I am in the hospital to get revived.,0,0,0,want thank god hospital get revived,want thank god hospital get revived,want thank god hospit get reviv,want thank god hospital get revived,16,2,0.5994,1,0.0,0.0,0,Objective,1
12509,93541,"@USER @USER @USER ALT RIGHT""...LMAO...nope, we're just not Marxists #SocialismSucks""",0,0,0,alt right lmao nope marxists,alt right lmao nope marxists,alt right lmao nope marxist,alt right lmao nope marxist,10,2,0.5994,1,0.442857143,0.767857143,1,Subjective,1
12530,79215,@USER She already proved she hasn’t a clue about things she is legislating so really have no interest in her comments or opinion.,0,0,0,already proved clue things legislating really interest comments opinion,already proved clue things legislating really interest comments opinion,alreadi prove clue thing legisl realli interest comment opinion,already proved clue thing legislating really interest comment opinion,23,1,0.5095,1,0.2,0.2,1,Objective,1
